standard_incidence_angles,standard_offsets,standard_refraction_angles,,,,materials-A_incidence_angles,materials-A_offsets,materials-A_refraction_angles,,,,materials-B_incidence_angles,materials-B_offsets,materials-B_refraction_angles,,,,materials-C_incidence_angles,materials-C_offsets,materials-C_refraction_angles,,,,thicks-A_incidence_angles,thicks-A_offsets,thicks-A_refraction_angles,,,,thicks-B_incidence_angles,thicks-B_offsets,thicks-B_refraction_angles,,,,thicks-C_incidence_angles,thicks-C_offsets,thicks-C_refraction_angles
60,0.006511469,40.62813065,,,,60,0.006371113,39.57675287,,,,60,0.005986213,36.77121769,,,,60,0.00562398,34.2217969,,,,60,0.065114692,40.62813065,,,,60,0.65114692,40.62813065,,,,60,6.511469201,40.62813065
60.90909091,0.006570296,41.07372524,,,,60.90909091,0.006428672,40.00595273,,,,60.90909091,0.006040294,37.15903273,,,,60.90909091,0.005674789,34.57460681,,,,60.90909091,0.065702961,41.07372524,,,,60.90909091,0.657029607,41.07372524,,,,60.90909091,6.570296068,41.07372524
61.81818182,0.006627469,41.50970422,,,,61.81818182,0.006484612,40.42568618,,,,61.81818182,0.006092855,37.5378594,,,,61.81818182,0.005724169,34.91893734,,,,61.81818182,0.066274689,41.50970422,,,,61.81818182,0.66274689,41.50970422,,,,61.81818182,6.627468898,41.50970422
62.72727273,0.006682973,41.93578753,,,,62.72727273,0.00653892,40.83569178,,,,62.72727273,0.006143882,37.90748125,,,,62.72727273,0.005772109,35.25460708,,,,62.72727273,0.066829733,41.93578753,,,,62.72727273,0.66829733,41.93578753,,,,62.72727273,6.682973298,41.93578753
63.63636364,0.006736795,42.35169185,,,,63.63636364,0.006591582,41.23570575,,,,63.63636364,0.006193363,38.2676812,,,,63.63636364,0.005818595,35.58143503,,,,63.63636364,0.067367953,42.35169185,,,,63.63636364,0.67367953,42.35169185,,,,63.63636364,6.736795295,42.35169185
64.54545455,0.006788921,42.75713103,,,,64.54545455,0.006642585,41.62546236,,,,64.54545455,0.006241284,38.61824198,,,,64.54545455,0.005863616,35.89924089,,,,64.54545455,0.067889213,42.75713103,,,,64.54545455,0.678892134,42.75713103,,,,64.54545455,6.788921341,42.75713103
65.45454545,0.006839338,43.15181659,,,,65.45454545,0.006691915,42.00469442,,,,65.45454545,0.006287634,38.95894646,,,,65.45454545,0.005907162,36.20784534,,,,65.45454545,0.068393383,43.15181659,,,,65.45454545,0.683933831,43.15181659,,,,65.45454545,6.839338311,43.15181659
66.36363636,0.006888034,43.53545826,,,,66.36363636,0.00673956,42.3731338,,,,66.36363636,0.006332401,39.2895781,,,,66.36363636,0.00594922,36.50707038,,,,66.36363636,0.068880335,43.53545826,,,,66.36363636,0.688803351,43.53545826,,,,66.36363636,6.888033515,43.53545826
67.27272727,0.006934995,43.90776459,,,,67.27272727,0.006785509,42.73051197,,,,67.27272727,0.006375574,39.60992135,,,,67.27272727,0.00598978,36.79673969,,,,67.27272727,0.069349947,43.90776459,,,,67.27272727,0.693499469,43.90776459,,,,67.27272727,6.934994693,43.90776459
68.18181818,0.00698021,44.26844359,,,,68.18181818,0.00682975,43.07656063,,,,68.18181818,0.006417142,39.91976215,,,,68.18181818,0.006028833,37.07667896,,,,68.18181818,0.0698021,44.26844359,,,,68.18181818,0.698021002,44.26844359,,,,68.18181818,6.980210023,44.26844359
69.09090909,0.007023668,44.61720347,,,,69.09090909,0.006872271,43.41101231,,,,69.09090909,0.006457094,40.2188884,,,,69.09090909,0.006066368,37.34671626,,,,69.09090909,0.070236681,44.61720347,,,,69.09090909,0.702366812,44.61720347,,,,69.09090909,7.023668122,44.61720347
70,0.007065358,44.95375334,,,,70,0.006913063,43.73360107,,,,70,0.006495421,40.50709044,,,,70,0.006102376,37.60668241,,,,70,0.070653581,44.95375334,,,,70,0.706535805,44.95375334,,,,70,7.065358051,44.95375334
70.90909091,0.007105269,45.2778041,,,,70.90909091,0.006952114,44.04406326,,,,70.90909091,0.006532113,40.78416162,,,,70.90909091,0.006136847,37.85641138,,,,70.90909091,0.071052693,45.2778041,,,,70.90909091,0.710526931,45.2778041,,,,70.90909091,7.105269314,45.2778041
71.81818182,0.007143392,45.58906923,,,,71.81818182,0.006989415,44.34213824,,,,71.81818182,0.006567161,41.04989882,,,,71.81818182,0.006169774,38.09574068,,,,71.81818182,0.071433919,45.58906923,,,,71.81818182,0.714339186,45.58906923,,,,71.81818182,7.143391863,45.58906923
72.72727273,0.007179716,45.88726574,,,,72.72727273,0.007024956,44.6275692,,,,72.72727273,0.006600555,41.30410302,,,,72.72727273,0.006201147,38.32451178,,,,72.72727273,0.071797161,45.88726574,,,,72.72727273,0.71797161,45.88726574,,,,72.72727273,7.179716101,45.88726574
73.63636364,0.007214233,46.17211513,,,,73.63636364,0.007058729,44.90010399,,,,73.63636364,0.006632287,41.54657986,,,,73.63636364,0.006230959,38.54257045,,,,73.63636364,0.072142329,46.17211513,,,,73.63636364,0.721423288,46.17211513,,,,73.63636364,7.214232884,46.17211513
74.54545455,0.007246934,46.44334434,,,,74.54545455,0.007090724,45.15949598,,,,74.54545455,0.00666235,41.77714027,,,,74.54545455,0.006259203,38.74976728,,,,74.54545455,0.072469335,46.44334434,,,,74.54545455,0.724693352,46.44334434,,,,74.54545455,7.246933523,46.44334434
75.45454545,0.00727781,46.7006868,,,,75.45454545,0.007120935,45.40550493,,,,75.45454545,0.006690735,41.99560098,,,,75.45454545,0.006285871,38.94595799,,,,75.45454545,0.072778098,46.7006868,,,,75.45454545,0.727780978,46.7006868,,,,75.45454545,7.277809785,46.7006868
76.36363636,0.007306854,46.9438835,,,,76.36363636,0.007149353,45.63789792,,,,76.36363636,0.006717437,42.2017852,,,,76.36363636,0.006310956,39.13100389,,,,76.36363636,0.073068539,46.9438835,,,,76.36363636,0.73068539,46.9438835,,,,76.36363636,7.306853897,46.9438835
77.27272727,0.007334059,47.17268401,,,,77.27272727,0.007175971,45.85645021,,,,77.27272727,0.006742447,42.39552315,,,,77.27272727,0.006334453,39.30477226,,,,77.27272727,0.073340585,47.17268401,,,,77.27272727,0.733405855,47.17268401,,,,77.27272727,7.334058548,47.17268401
78.18181818,0.007359417,47.38684759,,,,78.18181818,0.007200783,46.0609462,,,,78.18181818,0.00676576,42.5766527,,,,78.18181818,0.006356355,39.46713679,,,,78.18181818,0.073594169,47.38684759,,,,78.18181818,0.735941689,47.38684759,,,,78.18181818,7.359416889,47.38684759
79.09090909,0.007382923,47.58614425,,,,79.09090909,0.007223782,46.25118032,,,,79.09090909,0.006787369,42.74501993,,,,79.09090909,0.006376657,39.61797793,,,,79.09090909,0.073829225,47.58614425,,,,79.09090909,0.738292254,47.58614425,,,,79.09090909,7.382922536,47.58614425
80,0.00740457,47.77035587,,,,80,0.007244963,46.42695792,,,,80,0.00680727,42.90047965,,,,80,0.006395354,39.75718326,,,,80,0.074045696,47.77035587,,,,80,0.740456957,47.77035587,,,,80,7.404569572,47.77035587
80.90909091,0.007424353,47.93927716,,,,80.90909091,0.007264319,46.58809616,,,,80.90909091,0.006825457,43.04289606,,,,80.90909091,0.006412441,39.88464789,,,,80.90909091,0.074243525,47.93927716,,,,80.90909091,0.742435255,47.93927716,,,,80.90909091,7.424352546,47.93927716
81.81818182,0.007442266,48.09271679,,,,81.81818182,0.007281847,46.73442487,,,,81.81818182,0.006841926,43.17214316,,,,81.81818182,0.006427913,40.00027479,,,,81.81818182,0.074422665,48.09271679,,,,81.81818182,0.744226648,48.09271679,,,,81.81818182,7.44226648,48.09271679
